,Overall Rank,School,State,Undergrad. Enrollment,Admission Rate,Student/faculty Ratio,4-year Grad. Rate,6-year Grad. Rate,Quality Rank,Total Costs,Cost After Need-based Aid,Need Met,Aid From Grants,Cost After Non-Need-Based Aid,Non-Need-Based Aid+,Average Debt,Cost Rank,SAT,ACT
62,62.0,Smith College,MA,0.13283220923647224,0.609375,0.42857142857142855,0.8539325842696629,0.4444444444444444,56.0,0.9283915301141134,0.5579270932548273,1.0,0.6712328767123288,0.6837141698215251,0.10101010101010101,0.7056384449090973,52.0,0.45098039215686275,0.24444444444444444
65,65.0,Union College,NY,0.10708953302785358,0.484375,0.5714285714285714,0.8426966292134831,0.4444444444444444,72.0,0.8823108734181151,0.5564118105463677,0.9625,0.7123287671232876,0.28312601406165494,0.0,0.5572881596200872,22.0,0.13725490196078433,0.35555555555555557
66,66.0,Hamilton College,NY,0.09184986871235133,0.328125,0.5,0.8876404494382022,0.5925925925925926,54.0,0.9447467429495352,0.6015672352584639,0.9875,0.7945205479452054,0.7287385073012439,0.0707070707070707,0.5973703795584222,55.0,0.5490196078431373,0.6
67,67.0,DePauw University,IN,0.1169232353395459,0.734375,0.5714285714285714,0.8426966292134831,0.4074074074074074,88.0,0.7484530953639501,0.4308598147025717,0.9875,0.7534246575342466,0.46423742563547865,0.8080808080808081,0.513201261650778,8.0,0.11764705882352941,0.1111111111111111
70,70.0,University of Southern California,CA,0.8277814961643413,0.25,0.5,0.5730337078651685,0.18518518518518517,59.0,0.9293554304903454,0.6938695990994891,0.9875,0.5616438356164384,0.5942739318550568,0.24242424242424243,0.7307297019527236,70.0,0.5882352941176471,0.8
71,71.0,Trinity College,CT,0.10456675075940895,0.34375,0.42857142857142855,0.8651685393258427,0.5555555555555556,53.0,0.958023693293119,0.6099229370508269,1.0,0.7945205479452054,0.8555638182801514,0.0,0.6024736860757699,78.0,0.47058823529411764,0.5333333333333333
72,72.0,Trinity University,TX,0.12042423930391803,0.859375,0.5714285714285714,0.7303370786516854,0.25925925925925924,86.0,0.590995304872361,0.4817300199151442,0.825,0.6027397260273972,0.44328015143320715,0.5353535353535354,0.0,20.0,0.43137254901960786,0.5555555555555556
74,74.0,Vanderbilt University,TN,0.31297945734438554,0.5,0.42857142857142855,0.8764044943820225,0.5925925925925926,52.0,0.9566866701906035,0.6663780413888648,0.9875,0.5068493150684932,0.5060167658193618,0.26262626262626265,0.8513661976822483,86.0,0.6666666666666666,0.7777777777777778
75,75.0,Whitman College,WA,0.07141018380270812,0.5625,0.5,0.6741573033707865,0.1111111111111111,74.0,0.799011224775349,0.6752532686812711,0.925,0.589041095890411,0.5981949702541914,0.7171717171717171,0.5315944288903852,36.0,0.6078431372549019,0.5777777777777777
76,76.0,Scripps College,CA,0.037635792617000466,0.6875,0.6428571428571429,0.7078651685393258,0.0,91.0,0.8837100836416778,0.5370594856697549,1.0,0.6986301369863014,0.4487560843699297,0.12121212121212122,0.4586242336180317,23.0,0.7058823529411765,0.5111111111111111
77,77.0,Franklin and Marshall College,PA,0.09571127014364414,0.75,0.5714285714285714,0.8764044943820225,0.5555555555555556,73.0,0.886197568483567,0.6643865269720323,0.975,0.726027397260274,0.5635478637101136,0.32323232323232326,0.6966013396179608,40.0,0.2549019607843137,0.35555555555555557
79,79.0,Carnegie Mellon University,PA,0.2784327858724193,0.375,0.5714285714285714,0.6853932584269663,0.3333333333333333,63.0,0.9446534622679643,0.8273443588189454,0.7875,0.589041095890411,0.6041441319632234,0.21212121212121213,0.6802636708367297,76.0,0.5098039215686274,0.8888888888888888
82,82.0,Case Western Reserve University,OH,0.17453534469443444,1.0,0.35714285714285715,0.550561797752809,0.25925925925925924,87.0,0.7687260968253474,0.551736081045978,0.95,0.5342465753424658,0.4336127636560303,0.6565656565656566,0.7736470921784739,31.0,0.49019607843137253,0.6666666666666666
83,84.0,Dickinson College,PA,0.11295886320341862,0.578125,0.7142857142857143,0.8314606741573034,0.37037037037037035,79.0,0.8868194396940393,0.6136462031344705,0.975,0.6712328767123288,0.5555705786911844,0.29292929292929293,0.6232413084310876,39.0,0.3137254901960784,0.2
86,87.0,Boston College,MA,0.45991865314318076,0.3125,0.7142857142857143,0.0,0.6666666666666666,71.0,0.9224215664935792,0.8178630184431552,1.0,0.589041095890411,0.8139872904272579,0.06060606060606061,0.5929758656129284,73.0,0.5686274509803921,0.6666666666666666
88,89.0,Bard College,NY,0.07141018380270812,0.34375,0.42857142857142855,0.6629213483146067,0.1111111111111111,82.0,0.9391188084947607,0.6484977054290415,0.8375,0.7671232876712328,0.5157855597620336,0.10101010101010101,0.5457702803274622,49.0,0.7058823529411765,0.26666666666666666
89,90.0,University of Rochester,NY,0.2382742109869742,0.5625,0.6428571428571429,0.7303370786516854,0.2962962962962963,76.0,0.906905879792295,0.6371980258030998,1.0,0.6986301369863014,0.647850189291509,0.5252525252525253,0.0,60.0,0.5882352941176471,0.7111111111111111
90,91.0,New York University,NY,1.0,0.21875,0.5714285714285714,0.7303370786516854,0.2222222222222222,60.0,0.9958023693293119,0.9828989522902416,0.625,0.547945205479452,0.854380746349378,0.25252525252525254,0.7617748165999221,100.0,0.7450980392156863,0.6888888888888889
91,92.0,Villanova University,PA,0.3762549554651702,0.515625,0.7142857142857143,0.8876404494382022,0.5925925925925926,75.0,0.8855756972730947,0.9041475452420122,0.7,0.410958904109589,0.7126149269875608,0.1919191919191919,1.0,72.0,0.1568627450980392,0.4222222222222222
92,93.0,Skidmore College,NY,0.12557277454564175,0.5,0.5714285714285714,0.797752808988764,0.25925925925925924,78.0,0.956406828145891,0.668629318555719,0.975,0.684931506849315,0.7219780962682532,0.0,0.551440620902293,71.0,0.4117647058823529,0.3111111111111111
93,94.0,Rose-Hulman Institute of Technology,IN,0.08108943005714875,0.796875,0.7142857142857143,0.651685393258427,0.1111111111111111,93.0,0.7632225366126675,1.0,0.5,0.0,0.6977082206598161,0.6464646464646465,0.9568699720026934,63.0,0.2549019607843137,0.8
94,95.0,St. John's College,MD,0.020491170262060442,0.890625,0.35714285714285715,0.7078651685393258,0.1111111111111111,81.0,0.8879077143123659,0.7083297255173608,0.8875,0.6164383561643836,0.8923066522444565,0.030303030303030304,0.7354786121841443,75.0,0.9019607843137255,0.4444444444444444
95,96.0,Babson College,MA,0.08587756783195181,0.53125,0.7142857142857143,0.8651685393258427,0.48148148148148145,77.0,0.9441248717390628,0.6813143995151095,0.975,0.6986301369863014,0.7513858842617631,0.10101010101010101,0.0,83.0,0.0196078431372549,0.4888888888888889
96,97.0,Rhode Island School of Design,RI,0.09344591463728569,0.28125,0.5714285714285714,0.0,0.7037037037037037,96.0,0.8206523428997855,0.9034548445752879,0.6125,0.3561643835616438,0.8498850730124392,0.030303030303030304,0.7486621540206259,80.0,0.0,0.0
97,98.0,Rensselaer Polytechnic Institute,NY,0.26113370746022757,0.875,1.0,0.5393258426966292,0.25925925925925924,84.0,0.9676626970554398,0.7265131180188761,0.875,0.6438356164383562,0.6872633856138454,0.4444444444444444,0.8714604670943048,94.0,0.37254901960784315,0.8222222222222222
99,100.0,The George Washington University,DC,0.5282912011532719,0.40625,0.7857142857142857,0.6966292134831461,0.18518518518518517,98.0,1.0,0.8783011516148584,0.925,0.3972602739726027,0.7381354786371012,0.24242424242424243,0.0,96.0,0.37254901960784315,0.37777777777777777
